Skenario,Kode Sample,Nama Produk,Engine OCR,Total Bahan Asli (GT),Total Berhasil Dikenali,Total Miss / Terlewat,Total False Positives (Noise),Daftar Bahan MISS (False Negatives),Detail Penyebab MISS,Daftar Token Salah (False Positives)
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_01,g2g_cleanser_trial_01,PADDLEOCR,16,16,0,1,,,BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_02,g2g_cleanser_trial_02,PADDLEOCR,16,16,0,1,,,BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUITE EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_03,g2g_cleanser_trial_03,PADDLEOCR,16,15,1,1,SORBITOL,SORBITOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITOL DISODIUM EDTA')],BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_04,g2g_cleanser_trial_04,PADDLEOCR,16,12,4,0,PROPYLENE GLYCOL | SORBITOL | BHT | AROMA,PROPYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'BUTYLENE GLYCOL BHT')] || SORBITOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITOLDISODIUM EDTA')] || BHT [Gagal terdeteksi oleh OCR / terpotong] || AROMA [Terpotong (Cut-off) di Bagian Bawah Kemasan],
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_05,g2g_cleanser_trial_05,PADDLEOCR,16,15,1,1,BHT,BHT [Gagal terdeteksi oleh OCR / terpotong],BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_06,g2g_cleanser_trial_06,PADDLEOCR,16,16,0,1,,,BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_07,g2g_cleanser_trial_07,PADDLEOCR,16,14,2,1,DISODIUM EDTA | BUTYLENE GLYCOL,DISODIUM EDTA [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM HYDROXIDE')] || BUTYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPYLENE GLYCOL')],EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_08,g2g_cleanser_trial_08,PADDLEOCR,16,16,0,1,,,BLUEBERRYREFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_09,g2g_cleanser_trial_09,PADDLEOCR,16,15,1,1,SORBITOL,SORBITOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITOLDISODIUM EDTA')],BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_10,g2g_cleanser_trial_10,PADDLEOCR,16,15,1,1,BUTYLENE GLYCOL,BUTYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPYLENE GLYCOL')],BLUEBERRY REFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_11,g2g_cleanser_trial_11,PADDLEOCR,16,12,4,1,BUTYLENE GLYCOL | BHT | CHLORPHENESIN | POLYAMINOPROPYL BIGUANIDE,BUTYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPYLENE GLYCOL')] || BHT [Gagal terdeteksi oleh OCR / terpotong] || CHLORPHENESIN [Terpotong (Cut-off) di Bagian Bawah Kemasan] || POLYAMINOPROPYL BIGUANIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DISODIUM EDTABUTYLENE GLYCOLBHTCHLORPHENESINPOLYAMINOPROPYL BIGUANIDE')],EXTRACT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_01,g2g_cleanser_trial_01,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_02,g2g_cleanser_trial_02,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_03,g2g_cleanser_trial_03,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_04,g2g_cleanser_trial_04,MLKIT,16,15,1,6,SORBITOL,SORBITOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITOL DISODIUM EDTA')],CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_05,g2g_cleanser_trial_05,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINILUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_06,g2g_cleanser_trial_06,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_07,g2g_cleanser_trial_07,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_08,g2g_cleanser_trial_08,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_09,g2g_cleanser_trial_09,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_10,g2g_cleanser_trial_10,MLKIT,16,15,1,7,BHT,BHT [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCOL BHT')],EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL BHT | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_11,g2g_cleanser_trial_11,MLKIT,16,16,0,7,,,EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_01,g2g_cleanser_trial_01,TESSERACT,16,13,3,13,SODIUM HYDROXIDE | SORBITOL | DISODIUM EDTA,SODIUM HYDROXIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM I')] || SORBITOL [Gagal terdeteksi oleh OCR / terpotong] || DISODIUM EDTA [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM I')],HB PORE CLEARING MICELLAR WATEP I | A 4 | MOISTEN A COTTON PAD WITH THE PRODUCT | IS 2 GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING | 7 EXTRACT | I CASTOR OIL | SODIUM I | I BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT SE | SEE ON THE EDGE OF THIS PACKAGE | CARA PENGQUNASC | KUL TE ERES KUPNYS KE ATE 2
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_02,g2g_cleanser_trial_02,TESSERACT,16,16,0,18,,,GENTLY SMOOTH OVER YC TIRE FACE | PAUSING D | I AS | HEE O EXTRACT | CASTOR OIL | SODIUM FF | GLYCOL | BIGUANIDE | A BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT Q | RF SEE ON THE EDGE OF THIS PACKAGE | RE | PL SUNTONE WISBOM IND A | CARDEN 7 FLOK AQ2 NAMOR I7 | TXB I | ( PERHATIEN HON BARE (IP T | IE EE RT 3 Q | I ARI IARY A | A BID MIE ATTE SEAR FT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_03,g2g_cleanser_trial_03,TESSERACT,16,16,0,15,,,I 2 | GENTLY SMOOTH C | PAUSING | A EXTRACT | SS CASTOR OIL | LE HYDROXIDE | BUTYLENE BS | 7 D | ) BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT I | IF SEE ON THE EDGE OF THIS PACKAGE | S ILE 6 | A. CLE WMIAH | TAHAR | I HI ON BT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_04,g2g_cleanser_trial_04,TESSERACT,16,16,0,11,,,GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING I | I ON AREAS WITH LONGWEAR OR HEAVY IAKEUP | 3 EXTRACT | CASTOR OIL | SODIUM I | I GLYCOL | T BIGUANIDE | WP BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | WY SEE ON THE EDGE OF THIS PACKAGE | I I
