Skenario,Kode Sample,Nama Produk,Engine OCR,Total Bahan Asli (GT),Total Berhasil Dikenali,Total Miss / Terlewat,Total False Positives (Noise),Daftar Bahan MISS (False Negatives),Detail Penyebab MISS,Daftar Token Salah (False Positives)
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_01,g2g_cleanser_trial_01,TESSERACT,16,13,3,13,SODIUM HYDROXIDE | SORBITOL | DISODIUM EDTA,SODIUM HYDROXIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM I')] || SORBITOL [Gagal terdeteksi oleh OCR / terpotong] || DISODIUM EDTA [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM I')],HB PORE CLEARING MICELLAR WATEP I | A 4 | MOISTEN A COTTON PAD WITH THE PRODUCT | IS 2 GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING | 7 EXTRACT | I CASTOR OIL | SODIUM I | I BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT SE | SEE ON THE EDGE OF THIS PACKAGE | CARA PENGQUNASC | KUL TE ERES KUPNYS KE ATE 2
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_02,g2g_cleanser_trial_02,TESSERACT,16,16,0,18,,,GENTLY SMOOTH OVER YC TIRE FACE | PAUSING D | I AS | HEE O EXTRACT | CASTOR OIL | SODIUM FF | GLYCOL | BIGUANIDE | A BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT Q | RF SEE ON THE EDGE OF THIS PACKAGE | RE | PL SUNTONE WISBOM IND A | CARDEN 7 FLOK AQ2 NAMOR I7 | TXB I | ( PERHATIEN HON BARE (IP T | IE EE RT 3 Q | I ARI IARY A | A BID MIE ATTE SEAR FT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_03,g2g_cleanser_trial_03,TESSERACT,16,16,0,15,,,I 2 | GENTLY SMOOTH C | PAUSING | A EXTRACT | SS CASTOR OIL | LE HYDROXIDE | BUTYLENE BS | 7 D | ) BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT I | IF SEE ON THE EDGE OF THIS PACKAGE | S ILE 6 | A. CLE WMIAH | TAHAR | I HI ON BT
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_04,g2g_cleanser_trial_04,TESSERACT,16,16,0,11,,,GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING I | I ON AREAS WITH LONGWEAR OR HEAVY IAKEUP | 3 EXTRACT | CASTOR OIL | SODIUM I | I GLYCOL | T BIGUANIDE | WP BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | WY SEE ON THE EDGE OF THIS PACKAGE | I I
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_05,g2g_cleanser_trial_05,TESSERACT,16,16,0,12,,,MOISTEN A COTTON OSC | THE PRODUCT | WE 2 | GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING | EXTRACT | AT CASTOR OIL | HYDROXIDE | 7 GLYCOL | 4 BIGUANIDE | A BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT I | I SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_06,g2g_cleanser_trial_06,TESSERACT,16,16,0,10,,,I 2 | GENTLY SMOOTH OVE YOURENT ICE | PAUSING | WY EXTRACT | BE CASTOR OIL | AL HYDROXIDE | RT GLYCOL | I BIGUANIDE | I BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | I MAE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_07,g2g_cleanser_trial_07,TESSERACT,16,16,0,15,,,GENTLY SMOOTH OVER YOUR EN | PAUSING | 4 I ON AREAS WITH LONGWEAR OR HEA | KOUD | EYES AND BROKEN SKIN. 3 | DISCONTINUE USE IF I | I IES EXTRACT | 4 CASTOR OIL | E HYDROXIDE | Q - GLYCOL | I BIGUANIDE | J WE SBLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | I I EXTRACT | J I | SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_08,g2g_cleanser_trial_08,TESSERACT,16,16,0,10,,,(ZS A I | BRENT AND BROKEN SKIN. 3 | DISCONTIRWUE USE IF | IS EXTRACT | BIE CASTOR OIL | OHYDROXIDE | CGLLYCCOL | RE SSOBBIGUANIDE | WR SOLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT I | OE I HAT A I ON TS
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_09,g2g_cleanser_trial_09,TESSERACT,16,16,0,11,,,I I | MOISTEN A COTTON PAD WITH TH JUCT | GENTLY SMOOTH OVER YOUR ENTIRE | PAUSING | WS EXTRACT | CASTOR OIL | HYDROXIDE | GLYCOL | BIGUANIDE | BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | 4 SEE ON THE EDGE OF THIS PACKAGE
Skenario 1 (Single Product / Multi Trial),g2g_cleanser_trial_10,g2g_cleanser_trial_10,TESSERACT,16,16,0,11,,,GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING | 4 S ONAREAS WITH LONGWEAR OR HEAVY MAKEUP | EXTRACT | 2 CASTOR OIL | E HYDROXIDE | Y GLYCOL | BIGUANIDE | B BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT I | SEE ON THE EDGE OF THIS PACKAGE | I VAR NV I PS I I VE
